,index,PhotoName,Personality,IvsE,SvsN,TvsF,JvsP,Age,BeardConf,BeardValue,Happy,Confused,Calm,Angry,Sad,Surprised,Disgusted,EyeglassesConf,EyeglassesValue,EyesOpenConf,EyesOpenValue,GenderConf,GenderValue,MouthOpenConf,MouthOpenValue,MustacheConf,MustacheValue,Pitch,Roll,Yaw,SmileConf,SmileValue,Brightness,Sharpness,SunglassesConf,SunglassesValue
2,2,1001328126675771.jpg,ENFJ,E,N,Feel,J,27.5,52.13731384277344,True,86.62401580810547,1.4656126499176025,1.3178050518035889,0.0,0.0,0.0,0.0,99.99372100830078,False,99.98633575439453,True,100.0,Female,99.98002624511719,False,81.03985595703125,False,-8.956658363342285,-5.676806926727295,-9.280488014221191,62.861515045166016,True,38.64361572265625,99.9980239868164,99.97441101074219,False
4,4,10100238407492499.jpg,ENFJ,E,N,Feel,J,34.5,99.99791717529297,False,99.92868041992188,1.1004865169525146,0.0,0.0,0.0,0.0,0.2986907958984375,99.97913360595703,False,99.99250030517578,True,100.0,Female,64.1975326538086,False,99.9911880493164,False,-14.065569877624512,33.765708923339844,-30.307147979736328,99.73330688476562,True,42.7556037902832,99.98487854003906,98.8726806640625,False
7,7,10100279131750930.jpg,ENFJ,E,N,Feel,J,29.0,95.08131408691406,True,74.59819793701172,4.911822319030762,4.002732276916504,0.0,0.0,0.0,0.0,100.0,True,95.59827423095703,False,99.92306518554688,Male,99.75189971923828,False,81.86917877197266,True,-1.2855443954467773,6.345731258392334,12.106484413146973,92.00543212890625,True,42.69274139404297,99.9980239868164,96.54752349853516,True
9,9,10100367881175131.jpg,ENFJ,E,N,Feel,J,34.5,99.99854278564453,False,98.27449798583984,0.0,0.0,0.0,0.40842294692993164,0.7314443588256836,0.0,99.997314453125,False,99.99998474121094,True,100.0,Female,97.0837173461914,True,99.99494171142578,False,-8.183560371398926,-10.917071342468262,8.97256851196289,95.70946502685547,True,44.389007568359375,99.9945297241211,99.94744873046875,False
10,10,10100371498945180.jpg,ENFJ,E,N,Feel,J,43.5,84.94139099121094,False,99.84436798095703,0.0,0.0,1.529604196548462,0.0,0.0,1.6122937202453613,99.99393463134766,False,55.332611083984375,True,100.0,Female,88.38560485839844,False,52.94575500488281,False,-17.491994857788086,22.5928897857666,-33.87279510498047,94.38246154785156,True,45.04827117919922,99.97486114501953,99.31633758544922,False
13,13,10100716130871757.jpg,ENFJ,E,N,Feel,J,43.5,99.99747467041016,False,99.89726257324219,0.4518270492553711,0.6971597671508789,0.0,0.0,0.0,0.0,99.88492584228516,False,99.99959564208984,True,100.0,Female,96.85411071777344,True,99.97663879394531,False,-3.153381586074829,4.247405052185059,-10.654012680053711,99.52769470214844,True,44.248130798339844,99.9980239868164,99.7689208984375,False
16,16,10100720823912018.jpg,ENFJ,E,N,Feel,J,44.0,99.98221588134766,True,5.0109639167785645,3.938305377960205,0.0,0.0,0.0,15.313732147216797,0.0,99.67254638671875,False,53.78295135498047,False,99.82022094726562,Male,99.9548110961914,False,99.61441040039062,True,10.289202690124512,-7.70168399810791,-19.621784210205078,76.27185821533203,False,43.65634536743164,99.97486114501953,99.9888687133789,False
18,18,10100874504219050.jpg,ENFJ,E,N,Feel,J,34.5,99.9971694946289,False,86.40274810791016,1.5828192234039307,5.912387371063232,0.0,0.0,0.0,0.0,99.91587829589844,True,99.9999771118164,True,100.0,Female,99.92249298095703,False,99.99893951416016,False,-4.538896083831787,0.5045095682144165,-1.488633632659912,97.19490814208984,True,38.86988830566406,99.99671173095703,99.22257995605469,False
19,19,10100874504817850.jpg,ENFJ,E,N,Feel,J,35.5,96.85397338867188,False,52.76131057739258,0.0,0.0,0.0,33.91273498535156,2.6482105255126953,0.0,99.00917053222656,False,99.99844360351562,False,100.0,Female,97.20591735839844,False,99.61061096191406,False,-18.734325408935547,39.490535736083984,-26.84011459350586,98.04863739013672,False,27.26484489440918,99.9305191040039,98.8447265625,False
20,20,10100891185534261.jpg,ENFJ,E,N,Feel,J,29.0,91.31501770019531,True,26.322111129760742,0.0,0.0,1.8527507781982422,0.0,12.76303482055664,0.0,99.95555114746094,False,99.99117279052734,True,99.8930435180664,Male,82.03741455078125,True,75.6720199584961,False,25.361583709716797,11.7529296875,1.1993818283081055,86.37993621826172,True,25.471635818481445,99.9945297241211,98.68816375732422,False
21,21,10100987247780493.jpg,ENFJ,E,N,Feel,J,34.5,99.09490203857422,True,90.41129302978516,0.0,0.0,0.0,6.318151950836182,63.30000305175781,0.0,99.82740020751953,False,99.96858978271484,False,70.3592758178711,Female,84.81572723388672,False,75.67432403564453,False,1.46327543258667,-5.502552032470703,77.88195037841797,95.28597259521484,True,49.17020034790039,76.30530548095703,94.4333724975586,False
22,22,10100998457500287.jpg,ENFJ,E,N,Feel,J,30.5,99.99153900146484,False,11.269466400146484,2.6749253273010254,81.21680450439453,0.0,0.0,0.0,0.0,99.99606323242188,False,99.98607635498047,True,100.0,Female,93.99057006835938,False,99.99961853027344,False,7.271303176879883,4.494487762451172,2.453146457672119,70.03775787353516,True,64.37303924560547,99.99671173095703,99.86481475830078,False
27,27,10101279703596136.jpg,ENFJ,E,N,Feel,J,30.5,98.99527740478516,False,98.1194839477539,1.5806198120117188,0.0,5.16691780090332,0.0,0.0,0.0,99.9952163696289,False,99.81661987304688,True,99.92903137207031,Male,99.47761535644531,False,99.97981262207031,False,-3.3341832160949707,2.79103684425354,21.654293060302734,78.934326171875,True,44.28772735595703,99.99880981445312,99.72725677490234,False
28,28,10101356862648200.jpg,ENFJ,E,N,Feel,J,29.0,99.3597412109375,False,61.70695495605469,0.0,0.0,2.287590503692627,1.5770494937896729,0.0,0.0,99.99954986572266,True,99.2762222290039,False,100.0,Female,87.91631317138672,False,98.62879943847656,False,18.35707664489746,-13.413126945495605,2.2571771144866943,90.17874145507812,True,36.40257263183594,99.47134399414062,99.87384033203125,True
29,29,10101361161763378.jpg,ENFJ,E,N,Feel,J,75.0,99.76004028320312,True,22.467227935791016,17.76742935180664,0.0,0.0,0.0,7.068997383117676,0.0,99.92951965332031,True,80.44342803955078,False,99.92875671386719,Male,99.45329284667969,False,99.7041015625,True,8.150031089782715,-3.1888296604156494,13.963937759399414,74.00716400146484,True,48.5803337097168,99.9980239868164,82.35028076171875,False
