,index,fileName,Personality,SmileConf,SmileValue,Brightness,Sharpness
3,3,Facebook/ENTJ/10100524843917367.jpg,ENTJ,51.42940902709961,True,64.83360290527344,99.1240463256836
4,4,Facebook/ENTJ/10100593000838573.jpg,ENTJ,97.42124938964844,True,44.48096466064453,99.99671173095703
5,5,Facebook/ENTJ/10100722478231739.jpg,ENTJ,93.71163940429688,True,47.003875732421875,99.47134399414062
6,6,Facebook/ENTJ/10100814294055092.jpg,ENTJ,95.1806869506836,True,38.08112335205078,99.99671173095703
7,7,Facebook/ENTJ/10100874504219050.jpg,ENTJ,97.19490814208984,True,38.86988830566406,99.99671173095703
10,10,Facebook/ENTJ/10101254273499644.jpg,ENTJ,98.61042785644531,True,43.659671783447266,99.9980239868164
11,11,Facebook/ENTJ/10101365636500786.jpg,ENTJ,92.3006362915039,False,51.909385681152344,99.99880981445312
12,12,Facebook/ENTJ/10101402678054278.jpg,ENTJ,66.46188354492188,True,53.57554626464844,99.9945297241211
13,13,Facebook/ENTJ/10101402678059268.jpg,ENTJ,99.23710632324219,True,33.3524284362793,99.9305191040039
15,15,Facebook/ENTJ/10101502951061058.jpg,ENTJ,87.17467498779297,True,45.10136413574219,99.99671173095703
16,16,Facebook/ENTJ/10101567020799850.jpg,ENTJ,96.96466827392578,True,36.12430953979492,99.99090576171875
17,17,Facebook/ENTJ/10101654512705119.jpg,ENTJ,94.45169830322266,True,41.58639907836914,99.97486114501953
18,18,Facebook/ENTJ/10101711079091151.jpg,ENTJ,95.20556640625,True,41.823062896728516,99.98487854003906
19,19,Facebook/ENTJ/10101970081839235.jpg,ENTJ,97.65657806396484,True,32.60224914550781,99.9945297241211
21,21,Facebook/ENTJ/10102196277998347.jpg,ENTJ,85.19174194335938,True,45.72589874267578,99.884521484375
22,22,Facebook/ENTJ/10102208935313333.jpg,ENTJ,99.60498046875,True,43.47367477416992,99.99090576171875
23,23,Facebook/ENTJ/10102411986885951.jpg,ENTJ,59.682823181152344,False,60.25499725341797,99.884521484375
25,25,Facebook/ENTJ/10102712212037691.jpg,ENTJ,60.692169189453125,True,23.222732543945312,99.99090576171875
28,28,Facebook/ENTJ/10102968998629797.jpg,ENTJ,99.39960479736328,True,35.11068344116211,99.97486114501953
30,30,Facebook/ENTJ/10103110970961440.jpg,ENTJ,77.2529067993164,True,51.24854278564453,99.98487854003906
32,32,Facebook/ENTJ/10103302267880723.jpg,ENTJ,89.3599853515625,True,40.261138916015625,99.99090576171875
33,33,Facebook/ENTJ/10103363435245944.jpg,ENTJ,91.240966796875,True,32.174800872802734,99.98487854003906
35,35,Facebook/ENTJ/10103670575978718.jpg,ENTJ,64.74681854248047,True,32.26008605957031,99.9945297241211
36,36,Facebook/ENTJ/10103836653737014.jpg,ENTJ,99.25443267822266,True,40.5199089050293,99.99957275390625
38,38,Facebook/ENTJ/10103941527953407.jpg,ENTJ,97.31204223632812,True,44.692081451416016,99.9980239868164
41,41,Facebook/ENTJ/10104236860674096.jpg,ENTJ,85.18927001953125,True,60.07990264892578,99.99880981445312
42,42,Facebook/ENTJ/10104396201778361.jpg,ENTJ,76.71087646484375,False,37.69440460205078,99.9945297241211
43,43,Facebook/ENTJ/10104452640894126.jpg,ENTJ,83.2707748413086,True,58.01389694213867,99.95819854736328
44,44,Facebook/ENTJ/10104730430845685.jpg,ENTJ,99.97848510742188,True,46.82328796386719,99.97486114501953
45,45,Facebook/ENTJ/10104844505569185.jpg,ENTJ,79.3065185546875,True,63.78627014160156,99.9945297241211
48,48,Facebook/ENTJ/10105583514339597.jpg,ENTJ,57.46449279785156,True,58.173583984375,99.99090576171875
50,50,Facebook/ENTJ/10105694693255982.jpg,ENTJ,99.30226135253906,False,27.992969512939453,99.98487854003906
53,53,Facebook/ENTJ/10105849630764977.jpg,ENTJ,99.65078735351562,True,27.95773696899414,99.98487854003906
54,54,Facebook/ENTJ/10107174379577661.jpg,ENTJ,97.54141998291016,True,64.59007263183594,99.99090576171875
59,59,Facebook/ENTJ/10107866541509600.jpg,ENTJ,61.486507415771484,False,49.03580093383789,99.9945297241211
60,60,Facebook/ENTJ/10108822820898010.jpg,ENTJ,99.53328704833984,True,37.07048416137695,99.95819854736328
62,62,Facebook/ENTJ/10110613027913860.jpg,ENTJ,98.14405059814453,True,38.97539138793945,99.99671173095703
65,65,Facebook/ENTJ/10111760061609144.jpg,ENTJ,96.39482116699219,True,52.706485748291016,99.99880981445312
66,66,Facebook/ENTJ/10112149076065991.jpg,ENTJ,98.37593841552734,True,35.196922302246094,99.98487854003906
69,69,Facebook/ENTJ/10150934817609996.jpg,ENTJ,74.17572784423828,True,36.347537994384766,99.99928283691406
70,70,Facebook/ENTJ/10151007745764963.jpg,ENTJ,99.09298706054688,True,54.157894134521484,99.9980239868164
72,72,Facebook/ENTJ/10154660332721841.jpg,ENTJ,98.58500671386719,False,26.870996475219727,99.9305191040039
73,73,Facebook/ENTJ/10154676737500882.jpg,ENTJ,67.34772491455078,True,17.98350715637207,99.9945297241211
74,74,Facebook/ENTJ/10154678939162003.jpg,ENTJ,93.46419525146484,True,35.661659240722656,99.99090576171875
75,75,Facebook/ENTJ/10154681365626642.jpg,ENTJ,99.6329345703125,True,44.21827697753906,99.99671173095703
77,77,Facebook/ENTJ/10154706863755044.jpg,ENTJ,78.69153594970703,True,65.94746398925781,99.99880981445312
78,78,Facebook/ENTJ/10154716095337003.jpg,ENTJ,61.63663101196289,False,40.23725509643555,65.94888305664062
80,80,Facebook/ENTJ/10154718677755388.jpg,ENTJ,88.67147827148438,True,62.16553497314453,99.95819854736328
81,81,Facebook/ENTJ/10154719419241401.jpg,ENTJ,60.488162994384766,False,46.98286437988281,99.9945297241211
82,82,Facebook/ENTJ/10154719756096184.jpg,ENTJ,56.55251693725586,True,36.42408752441406,99.884521484375
85,85,Facebook/ENTJ/10154738409315981.jpg,ENTJ,99.7093505859375,True,32.93939971923828,99.98487854003906
86,86,Facebook/ENTJ/10154743126670764.jpg,ENTJ,88.1714859008789,True,54.58131408691406,99.99090576171875
88,88,Facebook/ENTJ/10154755555181876.jpg,ENTJ,81.0355224609375,False,62.89126968383789,99.99880981445312
89,89,Facebook/ENTJ/10154760100322471.jpg,ENTJ,98.11402893066406,True,36.84950637817383,99.9305191040039
90,90,Facebook/ENTJ/10154760923516249.jpg,ENTJ,79.46241760253906,False,47.38034439086914,99.99671173095703
96,96,Facebook/ENTJ/10154778533457121.jpg,ENTJ,50.665771484375,False,46.90946960449219,99.99671173095703
97,97,Facebook/ENTJ/10154779285140706.jpg,ENTJ,82.93626403808594,True,53.191585540771484,99.99880981445312
98,98,Facebook/ENTJ/10154783707302443.jpg,ENTJ,95.83684539794922,True,18.472267150878906,99.98487854003906
100,100,Facebook/ENTJ/10154789145011262.jpg,ENTJ,98.59245300292969,True,33.30046463012695,99.80813598632812
102,102,Facebook/ENTJ/10154789753256556.jpg,ENTJ,76.00296020507812,False,27.33353614807129,99.99671173095703
105,105,Facebook/ENTJ/10154808356441105.jpg,ENTJ,94.33982849121094,True,72.72191619873047,99.9945297241211
107,107,Facebook/ENTJ/10154810892197027.jpg,ENTJ,99.94747924804688,True,51.06741714477539,99.9305191040039
112,112,Facebook/ENTJ/10154830650465988.jpg,ENTJ,57.73919677734375,True,45.40981674194336,53.80615997314453
113,113,Facebook/ENTJ/10154843521036922.jpg,ENTJ,50.14128875732422,True,50.67985153198242,99.99671173095703
114,114,Facebook/ENTJ/10154844026552414.jpg,ENTJ,98.54273986816406,True,49.73576354980469,99.99090576171875
115,115,Facebook/ENTJ/10154848628057633.jpg,ENTJ,95.3343734741211,True,19.488849639892578,99.95819854736328
116,116,Facebook/ENTJ/10154852542755025.jpg,ENTJ,98.73146057128906,True,56.408573150634766,99.9980239868164
119,119,Facebook/ENTJ/10154885565781860.jpg,ENTJ,99.3599624633789,True,28.284273147583008,99.98487854003906
123,123,Facebook/ENTJ/10154921490171156.jpg,ENTJ,99.40924072265625,True,61.32827377319336,99.99090576171875
124,124,Facebook/ENTJ/10154927823827681.jpg,ENTJ,96.7199478149414,True,38.3815803527832,99.98487854003906
125,125,Facebook/ENTJ/10154928931275849.jpg,ENTJ,99.26570129394531,True,57.15258026123047,99.99957275390625
126,126,Facebook/ENTJ/10154935224777823.jpg,ENTJ,62.18227767944336,True,50.26054382324219,99.99928283691406
127,127,Facebook/ENTJ/10154940765746716.jpg,ENTJ,91.85035705566406,True,25.53359603881836,98.55191040039062
128,128,Facebook/ENTJ/10154950558371911.jpg,ENTJ,94.88378143310547,False,48.37220001220703,99.9945297241211
130,130,Facebook/ENTJ/10154956085462918.jpg,ENTJ,99.91941833496094,True,71.78047943115234,99.99671173095703
132,132,Facebook/ENTJ/10154973994965334.jpg,ENTJ,62.38024139404297,True,52.668888092041016,99.97486114501953
134,134,Facebook/ENTJ/10154981704426297.jpg,ENTJ,97.95001220703125,True,65.39582061767578,41.19445037841797
136,136,Facebook/ENTJ/10155002262471765.jpg,ENTJ,51.21158218383789,True,61.33584976196289,99.99671173095703
138,138,Facebook/ENTJ/10155006597713161.jpg,ENTJ,68.1404800415039,False,47.96852493286133,99.98487854003906
143,143,Facebook/ENTJ/10155029278487335.jpg,ENTJ,99.21601104736328,True,27.927265167236328,97.61507415771484
145,145,Facebook/ENTJ/10155036843862157.jpg,ENTJ,94.21524047851562,False,40.619384765625,99.99090576171875
146,146,Facebook/ENTJ/10155050873376847.jpg,ENTJ,94.38513946533203,True,64.5885238647461,99.99957275390625
147,147,Facebook/ENTJ/10155052456297544.jpg,ENTJ,83.8773193359375,True,29.129051208496094,99.1240463256836
148,148,Facebook/ENTJ/10155059000239607.jpg,ENTJ,99.8165283203125,False,37.63410568237305,99.95819854736328
